,Rd,Date,Race Name,Track,Location,Season,Rnd,City,,Race name,Rd.,Original date,Original<br>date,Time (ET)
5,,June 8,[[Firestone 550|Boomtown 500]],[[Texas Motor Speedway]],,2002,6,"[[Fort Worth, Texas]]",,,,,,
6,,June 16,[[Pikes Peak International Raceway|Radisson Indy 225]],[[Pikes Peak International Raceway]],,2002,7,"[[Fountain, Colorado]]",,,,,,
7,,June 29,[[SunTrust Indy Challenge]],[[Richmond International Raceway]],,2002,8,"[[Richmond, Virginia]]",,,,,,
8,,July 7,[[RoadRunner Turbo Indy 300|Ameristar Casino Indy 200]],[[Kansas Speedway]],,2002,9,"[[Kansas City, Kansas]]",,,,,,
9,,July 20,[[Firestone Indy 200]],[[Nashville Superspeedway]],,2002,10,"[[Lebanon, Tennessee]]",,,,,,
10,,July 28,[[Firestone Indy 400|Michigan Indy 400]],[[Michigan International Speedway]],,2002,11,"[[Brooklyn, Michigan]]",,,,,,
11,,August 11,[[Kentucky Indy 300|Belterra Casino Indy 300]],[[Kentucky Speedway]],,2002,12,"[[Sparta, Kentucky]]",,,,,,
12,,August 25,[[Emerson Indy 250|Gateway Indy 250]],[[Gateway International Raceway]],,2002,13,"[[Madison, Illinois]]",,,,,,
13,,September 8,[[Peak Antifreeze & Motor Oil Indy 300|Delphi Indy 300]],[[Chicagoland Speedway]],,2002,14,"[[Joliet, Illinois]]",,,,,,
14,,September 15,[[Firestone 550|Chevy 500]],[[Texas Motor Speedway]],,2002,15,"[[Fort Worth, Texas]]",,,,,,
15,,"'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2002|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2002|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Final Indy Racing League Leaders|url=https://www.newspapers.com/article/fort-worth-star-telegram-final-indy-raci/135330808/|work=[[Fort Worth Star-Telegram]]|page=14D|date=September 26, 2002|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2002|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2002|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Final Indy Racing League Leaders|url=https://www.newspapers.com/article/fort-worth-star-telegram-final-indy-raci/135330808/|work=[[Fort Worth Star-Telegram]]|page=14D|date=September 26, 2002|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2002|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2002|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Final Indy Racing League Leaders|url=https://www.newspapers.com/article/fort-worth-star-telegram-final-indy-raci/135330808/|work=[[Fort Worth Star-Telegram]]|page=14D|date=September 26, 2002|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>",,2002,"'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2002|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2002|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Final Indy Racing League Leaders|url=https://www.newspapers.com/article/fort-worth-star-telegram-final-indy-raci/135330808/|work=[[Fort Worth Star-Telegram]]|page=14D|date=September 26, 2002|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>","'''Sources:'''<ref>{{cite web|title=NTT IndyCar Series Calendar 2002|url=https://motorsportstats.com/series/ntt-indycar-series/calendar/2002|publisher=Motorsport Stats|access-date=November 17, 2023}}</ref><ref>{{cite news|title=Final Indy Racing League Leaders|url=https://www.newspapers.com/article/fort-worth-star-telegram-final-indy-raci/135330808/|work=[[Fort Worth Star-Telegram]]|page=14D|date=September 26, 2002|access-date=November 17, 2023|via=[[Newspapers.com]] {{open access}}}}</ref>",,,,,,
0,,March 2,[[Homestead–Miami Indy 300|Toyota Indy 300]],[[Homestead-Miami Speedway]],"[[Homestead, Florida]]",2003,1,,,,,,,
1,,March 23,[[XM Satellite Radio Indy 200|Purex Dial Indy 200]],[[Phoenix International Raceway]],"[[Phoenix, Arizona]]",2003,2,,,,,,,
2,,April 13,[[Indy Japan 300]],[[Twin Ring Motegi]],"[[Motegi, Tochigi|Motegi]], [[Japan]]",2003,3,,,,,,,
3,,May 25,[[2003 Indianapolis 500|87th Indianapolis 500]],[[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2003,4,,,,,,,
4,,June 7,[[Firestone 550|Bombardier 500]],[[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2003,5,,,,,,,
5,,June 15,[[Pikes Peak International Raceway|Honda Indy 225]],[[Pikes Peak International Raceway]],"[[Fountain, Colorado]]",2003,6,,,,,,,
6,,June 28,[[SunTrust Indy Challenge]],[[Richmond International Raceway]],"[[Richmond, Virginia]]",2003,7,,,,,,,
7,,July 6,[[RoadRunner Turbo Indy 300|Kansas Indy 300]],[[Kansas Speedway]],"[[Kansas City, Kansas]]",2003,8,,,,,,,
8,,July 19,[[Firestone Indy 200]],[[Nashville Superspeedway]],"[[Lebanon, Tennessee]]",2003,9,,,,,,,
9,,July 27,[[Firestone Indy 400]],[[Michigan International Speedway]],"[[Brooklyn, Michigan]]",2003,10,,,,,,,
10,,August 10,[[Emerson Indy 250]],[[Gateway International Raceway]],"[[Madison, Illinois]]",2003,11,,,,,,,
11,,August 17,[[Kentucky Indy 300|Belterra Casino Indy 300]],[[Kentucky Speedway]],"[[Sparta, Kentucky]]",2003,12,,,,,,,
12,,August 24,[[Firestone Indy 225]],[[Nazareth Speedway]],"[[Nazareth, Pennsylvania]]",2003,13,,,,,,,
13,,September 7,[[Peak Antifreeze & Motor Oil Indy 300|Delphi Indy 300]],[[Chicagoland Speedway]],"[[Joliet, Illinois]]",2003,14,,,,,,,
14,,September 21,[[Toyota Indy 400]],[[Auto Club Speedway|California Speedway]],"[[Fontana, California]]",2003,15,,,,,,,
15,,October 12,[[Firestone 550|Chevy 500]],[[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2003,16,,,,,,,
0,,February 29,[[Homestead–Miami Indy 300|Toyota Indy 300]],[[Homestead-Miami Speedway]],,2004,1,"[[Homestead, Florida]]",,,,,,
1,,March 21,[[XM Satellite Radio Indy 200|Copper World Indy 200]],[[Phoenix International Raceway]],,2004,2,"[[Phoenix, Arizona]]",,,,,,
2,,April 17,[[Indy Japan 300]],[[Twin Ring Motegi]],,2004,3,"[[Motegi, Tochigi|Motegi]], [[Japan]]",,,,,,
3,,May 30,[[2004 Indianapolis 500|88th Indianapolis 500]],[[Indianapolis Motor Speedway]],,2004,4,"[[Speedway, Indiana]]",,,,,,
4,,June 12,[[Firestone 550|Bombardier 500]],[[Texas Motor Speedway]],,2004,5,"[[Fort Worth, Texas]]",,,,,,
5,,June 26,[[SunTrust Indy Challenge]],[[Richmond International Raceway]],,2004,6,"[[Richmond, Virginia]]",,,,,,
6,,July 4,[[RoadRunner Turbo Indy 300|Argent Mortgage 300]],[[Kansas Speedway]],,2004,7,"[[Kansas City, Kansas]]",,,,,,
7,,July 17,[[Firestone Indy 200]],[[Nashville Superspeedway]],,2004,8,"[[Lebanon, Tennessee]]",,,,,,
8,,July 25,[[Milwaukee IndyFest|Menards A. J. Foyt 225]],[[The Milwaukee Mile]],,2004,9,"[[West Allis, Wisconsin]]",,,,,,
9,,August 1,[[Firestone Indy 400|Michigan Indy 400]],[[Michigan International Speedway]],,2004,10,"[[Brooklyn, Michigan]]",,,,,,
10,,August 15,[[Kentucky Indy 300|Belterra Casino Indy 300]],[[Kentucky Speedway]],,2004,11,"[[Sparta, Kentucky]]",,,,,,
