,Rd,Date,Race Name,Track,Location,Season,Rnd,City,,Race name,Rd.,Original date,Original<br>date,Time (ET)
8,,June 8,[[DXC Technology 600]],{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],,2019,,"[[Fort Worth, Texas]]",,,9,,,
9,,June 23,[[REV Group Grand Prix at Road America]]<ref>{{cite web|url=https://www.theapex.racing/2019/01/rev-group-road-america-indycar-title-sponsor/|title=REV Group Gains Naming Rights for Road America Race • The Apex|date=2019-01-16|website=The Apex|language=en-US|access-date=2019-01-16|archive-url=https://web.archive.org/web/20190416171552/https://www.theapex.racing/2019/01/rev-group-road-america-indycar-title-sponsor/|archive-date=2019-04-16|url-status=dead}}</ref>,{{Color box|lightblue|R|border=silver}} [[Road America]],,2019,,"[[Elkhart Lake, Wisconsin]]",,,10,,,
10,,July 14,[[Honda Indy Toronto]],{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],,2019,,"[[Toronto, Ontario]]",,,11,,,
11,,July 20/21{{refn|group=N|The race began late Saturday night and finished at about 1:00 AM Sunday morning.}},[[Iowa 300]],{{Color box|white|O|border=silver}} [[Iowa Speedway]],,2019,,"[[Newton, Iowa]]",,,12,,,
12,,July 28,[[Honda Indy 200|Honda Indy 200 at Mid-Ohio]],{{Color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],,2019,,"[[Lexington, Ohio]]",,,13,,,
13,,August 18,[[ABC Supply 500]],{{Color box|white|O|border=silver}} [[Pocono Raceway]],,2019,,"[[Long Pond, Pennsylvania]]",,,14,,,
14,,August 24,[[Bommarito Automotive Group 500|Bommarito Automotive Group 500 presented by Axalta and Valvoline]],{{Color box|white|O|border=silver}} [[World Wide Technology Raceway]],,2019,,"[[Madison, Illinois]]",,,15,,,
15,,September 1,[[Grand Prix of Portland]],{{Color box|lightblue|R|border=silver}} [[Portland International Raceway]],,2019,,"[[Portland, Oregon]]",,,16,,,
16,,September 22,[[IndyCar Monterey Grand Prix|Firestone Grand Prix of Monterey]],{{Color box|lightblue|R|border=silver}} [[WeatherTech Raceway Laguna Seca]],,2019,,"[[Monterey, California]]",,,17,,,
0,,,,{{Color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],,2020,,"[[Birmingham, Alabama]]",,[[Honda Indy Grand Prix of Alabama]],,,April 5,
1,,,,{{Color box|peachpuff|S|border=silver}} [[Grand Prix of Long Beach|Streets of Long Beach]],,2020,,"[[Long Beach, California]]",,[[Grand Prix of Long Beach|Acura Grand Prix of Long Beach]],,,April 19,
2,,,,{{Color box|lightblue|R|border=silver}} [[Circuit of the Americas]],,2020,,"[[Austin, Texas]]",,[[AutoNation IndyCar Challenge]],,,April 26,
3,,,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|The Raceway at Belle Isle Park]],,2020,,"[[Detroit|Detroit, Michigan]]",,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix presented by Lear Corporation]],,,May 30,
4,,,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|The Raceway at Belle Isle Park]],,2020,,"[[Detroit|Detroit, Michigan]]",,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix presented by Lear Corporation]],,,May 31,
5,,,,{{Color box|white|O|border=silver}} [[Richmond Raceway]],,2020,,"[[Richmond, Virginia]]",,[[Indy Richmond 300]],,,June 27,
6,,,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],,2020,,"[[Toronto, Ontario]]",,[[Honda Indy Toronto]],,,July 12,
7,,,,{{Color box|lightblue|R|border=silver}} [[Portland International Raceway]],,2020,,"[[Portland, Oregon]]",,[[Grand Prix of Portland]],,,September 13,
8,,,,{{Color box|lightblue|R|border=silver}} [[WeatherTech Raceway Laguna Seca]],,2020,,"[[Monterey, California]]",,[[IndyCar Monterey Grand Prix|Firestone Grand Prix of Monterey]],,,September 19,
9,,,,{{Color box|lightblue|R|border=silver}} [[WeatherTech Raceway Laguna Seca]],,2020,,"[[Monterey, California]]",,[[IndyCar Monterey Grand Prix|Firestone Grand Prix of Monterey]],,,September 20,
10,,,,"References:<ref>{{cite web |title=Official Statement From INDYCAR |url=https://www.indycar.com/News/2020/03/03-12-StPete-Race |access-date=March 13, 2020 |website=IndyCar.com}}</ref><ref>{{cite news |title=2020: Latest Schedule Updates |url=https://www.indycar.com/2020/ScheduleUpdates |access-date=March 18, 2020 |work=[[IndyCar Series]] |publisher=Brickyard Trademarks, Inc. |quote=The Grand Prix Association of Long Beach today announced that it will not be able to conduct the 2020 Acura Grand Prix of Long Beach at a date later in the year.}}</ref><ref name=""indycar.com"" /><ref name=""racer.com"" /><ref name=""indystar.com"" /><ref>[https://www.autosport.com/indycar/news/150853/indycar-portland-race-to-be-cancelled IndyCar Portland race to be cancelled with Mid-Ohio made a double-header]</ref>",,2020,,"References:<ref>{{cite web |title=Official Statement From INDYCAR |url=https://www.indycar.com/News/2020/03/03-12-StPete-Race |access-date=March 13, 2020 |website=IndyCar.com}}</ref><ref>{{cite news |title=2020: Latest Schedule Updates |url=https://www.indycar.com/2020/ScheduleUpdates |access-date=March 18, 2020 |work=[[IndyCar Series]] |publisher=Brickyard Trademarks, Inc. |quote=The Grand Prix Association of Long Beach today announced that it will not be able to conduct the 2020 Acura Grand Prix of Long Beach at a date later in the year.}}</ref><ref name=""indycar.com"" /><ref name=""racer.com"" /><ref name=""indystar.com"" /><ref>[https://www.autosport.com/indycar/news/150853/indycar-portland-race-to-be-cancelled IndyCar Portland race to be cancelled with Mid-Ohio made a double-header]</ref>",,"References:<ref>{{cite web |title=Official Statement From INDYCAR |url=https://www.indycar.com/News/2020/03/03-12-StPete-Race |access-date=March 13, 2020 |website=IndyCar.com}}</ref><ref>{{cite news |title=2020: Latest Schedule Updates |url=https://www.indycar.com/2020/ScheduleUpdates |access-date=March 18, 2020 |work=[[IndyCar Series]] |publisher=Brickyard Trademarks, Inc. |quote=The Grand Prix Association of Long Beach today announced that it will not be able to conduct the 2020 Acura Grand Prix of Long Beach at a date later in the year.}}</ref><ref name=""indycar.com"" /><ref name=""racer.com"" /><ref name=""indystar.com"" /><ref>[https://www.autosport.com/indycar/news/150853/indycar-portland-race-to-be-cancelled IndyCar Portland race to be cancelled with Mid-Ohio made a double-header]</ref>",,,"References:<ref>{{cite web |title=Official Statement From INDYCAR |url=https://www.indycar.com/News/2020/03/03-12-StPete-Race |access-date=March 13, 2020 |website=IndyCar.com}}</ref><ref>{{cite news |title=2020: Latest Schedule Updates |url=https://www.indycar.com/2020/ScheduleUpdates |access-date=March 18, 2020 |work=[[IndyCar Series]] |publisher=Brickyard Trademarks, Inc. |quote=The Grand Prix Association of Long Beach today announced that it will not be able to conduct the 2020 Acura Grand Prix of Long Beach at a date later in the year.}}</ref><ref name=""indycar.com"" /><ref name=""racer.com"" /><ref name=""indystar.com"" /><ref>[https://www.autosport.com/indycar/news/150853/indycar-portland-race-to-be-cancelled IndyCar Portland race to be cancelled with Mid-Ohio made a double-header]</ref>",
0,,April 18,,{{Color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"[[Birmingham, Alabama]]",2021,,,,[[Indy Grand Prix of Alabama|Honda Indy Grand Prix of Alabama presented by AmFirst]],1,,,
1,,April 25,,{{Color box|peachpuff|S|border=silver}} [[Firestone Grand Prix of St. Petersburg|Streets of St. Petersburg]],"[[St. Petersburg, Florida]]",2021,,,,[[Firestone Grand Prix of St. Petersburg]],2,,,
2,,May 1,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2021,,,,[[Genesys 600|Genesys 300]],3,,,
3,,May 2,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2021,,,,[[Genesys 600|XPEL 375]],4,,,
4,,May 15,,{{Color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],"[[Speedway, Indiana]]",2021,,,,[[GMR Grand Prix]],5,,,
5,,May 30,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2021,,,,[[2021 Indianapolis 500|105th Running of the Indianapolis 500]],6,,,
6,,June 12,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|Belle Isle Street Circuit]],"[[Detroit|Detroit, Michigan]]",2021,,,,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix]],7,,,
7,,June 13,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|Belle Isle Street Circuit]],"[[Detroit|Detroit, Michigan]]",2021,,,,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix]],8,,,
8,,June 20,,{{Color box|lightblue|R|border=silver}} [[Road America]],"[[Elkhart Lake, Wisconsin]]",2021,,,,[[REV Group Grand Prix at Road America]],9,,,
9,,July 4,,{{Color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"[[Lexington, Ohio]]",2021,,,,[[Honda Indy 200|Honda Indy 200 at Mid-Ohio]],10,,,
10,,July 11,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],"[[Toronto, Ontario]]",2021,,,,[[Honda Indy Toronto]],'''C''',,,
11,,August 8,,{{Color box|peachpuff|S|border=silver}} [[Nashville Street Circuit]],"[[Nashville, Tennessee]]",2021,,,,"[[Music City Grand Prix|Big Machine Music City Grand Prix]]<ref>{{Cite web|url=https://www.autosport.com/indycar/news/152185/nashville-to-host-indycar-street-race-in-2021|title=Nashville to host IndyCar street race in 2021|work=[[Autosport]]|publisher=[[Motorsport Network]]|date=September 16, 2020}}</ref><ref>{{Cite web|url=https://musiccitygp.com/press-release/big-machine-partners-with-the-music-city-grand-prix-for-title-sponsorship|title=BIG MACHINE PARTNERS WITH THE MUSIC CITY GRAND PRIX FOR TITLE SPONSORSHIP|website=musiccitygp.com|date=April 6, 2021}}</ref>",11,,,
12,,August 14,,{{Color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],"[[Speedway, Indiana]]",2021,,,,"[[Grand Prix of Indianapolis|Big Machine Spiked Coolers Grand Prix]]<ref>{{cite news|title=Big Machine Vodka Spiked Coolers Named Title Sponsor of NTT INDYCAR SERIES Road Race Aug. 14 at IMS|url=https://www.indianapolismotorspeedway.com/news-multimedia/all/2021/06/04/indycar-big-machine-vodka-spiked-coolers-2021?startrow=2|work=[[Indianapolis Motor Speedway]]|publisher=IMS LLC|date=June 4, 2021|access-date=June 4, 2021|archive-date=June 4, 2021|archive-url=https://web.archive.org/web/20210604181454/https://www.indianapolismotorspeedway.com/news-multimedia/all/2021/06/04/indycar-big-machine-vodka-spiked-coolers-2021?startrow=2|url-status=dead}}</ref>",12,,,
13,,August 21,,{{Color box|white|O|border=silver}} [[World Wide Technology Raceway]],"[[Madison, Illinois]]",2021,,,,[[Bommarito Automotive Group 500]],13,,,
14,,September 12,,{{Color box|lightblue|R|border=silver}} [[Portland International Raceway]],"[[Portland, Oregon]]",2021,,,,[[Grand Prix of Portland]],14,,,
15,,September 19,,{{Color box|lightblue|R|border=silver}} [[WeatherTech Raceway Laguna Seca]],"[[Monterey, California]]",2021,,,,[[IndyCar Monterey Grand Prix|Firestone Grand Prix of Monterey]],15,,,
16,,September 26,,{{Color box|peachpuff|S|border=silver}} [[Grand Prix of Long Beach|Streets of Long Beach]],"[[Long Beach, California]]",2021,,,,[[Grand Prix of Long Beach|Acura Grand Prix of Long Beach]],16,,,
0,,February 27,,{{Color box|peachpuff|S|border=silver}} [[Firestone Grand Prix of St. Petersburg|Streets of St. Petersburg]],"[[St. Petersburg, Florida]]",2022,,,,[[Firestone Grand Prix of St. Petersburg]],1,,,
1,,March 20,,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2022,,,,[[IndyCar Series at Texas Motor Speedway|XPEL 375]],2,,,
2,,"April 10<ref>{{Cite web|date=February 24, 2014|title=IndyCar Schedule {{!}} US Agent {{!}} Travel Packages|url=https://www.motosportstravel.com/indycar-series/|access-date=September 2, 2021|language=en-US}}</ref>",,{{Color box|peachpuff|S|border=silver}} [[Grand Prix of Long Beach|Streets of Long Beach]],"[[Long Beach, California]]",2022,,,,[[Grand Prix of Long Beach|Acura Grand Prix of Long Beach]],3,,,
3,,May 1,,{{Color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"[[Birmingham, Alabama]]",2022,,,,[[Honda Indy Grand Prix of Alabama]],4,,,
4,,May 14,,{{Color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],"[[Speedway, Indiana]]",2022,,,,[[GMR Grand Prix]],5,,,
5,,May 29,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2022,,,,[[2022 Indianapolis 500|106th Running of the Indianapolis 500]],6,,,
6,,June 5,,{{Color box|peachpuff|S|border=silver}} [[Detroit Belle Isle street circuit|Belle Isle Street Circuit]],"[[Detroit|Detroit, Michigan]]",2022,,,,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix]],7,,,
7,,June 12,,{{Color box|lightblue|R|border=silver}} [[Road America]],"[[Elkhart Lake, Wisconsin]]",2022,,,,[[Grand Prix of Road America|Sonsio Grand Prix at Road America]],8,,,
8,,July 3,,{{Color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"[[Lexington, Ohio]]",2022,,,,[[Honda Indy 200|Honda Indy 200 at Mid-Ohio]],9,,,
9,,July 17,,{{Color box|peachpuff|S|border=silver}} [[Exhibition Place]],"[[Toronto, Ontario]]",2022,,,,[[Honda Indy Toronto]],10,,,
10,,July 23,,"{{Color box|white|O|border=silver}} [[Iowa Speedway]]<ref name=""IowaSpeedway"">{{Cite web|last=Ryan|first=Nate|date=August 19, 2021|title=Iowa Speedway will return to 2022 IndyCar schedule with doubleheader in multiyear deal|url=https://motorsports.nbcsports.com/2021/08/19/indycar-iowa-speedway-2022-doubleheader-multiyear-deal/}}</ref>","[[Newton, Iowa]]",2022,,,,[[IndyCar Series at Iowa Speedway|Hy-VeeDeals.com 250 presented by DoorDash]],11,,,
11,,July 24,,"{{Color box|white|O|border=silver}} [[Iowa Speedway]]<ref name=""IowaSpeedway"">{{Cite web|last=Ryan|first=Nate|date=August 19, 2021|title=Iowa Speedway will return to 2022 IndyCar schedule with doubleheader in multiyear deal|url=https://motorsports.nbcsports.com/2021/08/19/indycar-iowa-speedway-2022-doubleheader-multiyear-deal/}}</ref>","[[Newton, Iowa]]",2022,,,,[[IndyCar Series at Iowa Speedway|Hy-Vee Salute to Farmers 300 presented by Google]],12,,,
12,,July 30,,{{Color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],"[[Speedway, Indiana]]",2022,,,,"[[Grand Prix of Indianapolis|Gallagher Grand Prix]]<ref>{{cite web |title=Gallagher, Penske Entertainment Announce Partnership |url=https://www.indycar.com/news/2022/04/04-29-gallagher |website=IndyCar.com |access-date=April 29, 2022}}</ref>",13,,,
13,,August 7,,{{Color box|peachpuff|S|border=silver}} [[Nashville Street Circuit]],"[[Nashville, Tennessee]]",2022,,,,[[Music City Grand Prix|Big Machine Music City Grand Prix]],14,,,
14,,August 20,,{{Color box|white|O|border=silver}} [[World Wide Technology Raceway]],"[[Madison, Illinois]]",2022,,,,[[Bommarito Automotive Group 500]],15,,,
15,,September 4,,{{Color box|lightblue|R|border=silver}} [[Portland International Raceway]],"[[Portland, Oregon]]",2022,,,,[[Grand Prix of Portland]],16,,,
16,,September 11,,{{Color box|lightblue|R|border=silver}} [[WeatherTech Raceway Laguna Seca]],"[[Monterey, California]]",2022,,,,[[IndyCar Monterey Grand Prix|Firestone Grand Prix of Monterey]],17,,,
0,,"March 5<ref>{{Cite web|date=August 23, 2022|title=Firestone Grand Prix of St. Petersburg|url=https://www.visitstpeteclearwater.com/event/firestone-grand-prix-st-petersburg/1496|access-date=August 23, 2022|language=en-US}}</ref>",,{{color box|peachpuff|S|border=silver}} [[Firestone Grand Prix of St. Petersburg|Streets of St. Petersburg]],"[[St. Petersburg, Florida]]",2023,,,,[[Grand Prix of St. Petersburg|Firestone Grand Prix of St. Petersburg presented by RP Funding]],1,,,
1,,"April 2<ref>{{Cite web|date=September 14, 2022|title=NASCAR PLAYOFFS, INDYCAR/NASCAR DOUBLEHEADER HIGHLIGHT TEXAS MOTOR SPEEDWAY'S 2023 MAJOR EVENTS SCHEDULE|url=https://www.texasmotorspeedway.com/media/news/nascar-playoffs-indycar-nascar-doubleheader-highlight-texas-motor-speedways-2023-major-events-schedule.html|access-date=September 14, 2022|language=en-US}}</ref><ref>{{Cite web |title=PPG To Sponsor April 2 Race at Texas Motor Speedway |url=https://www.indycar.com/news/2023/02/02-23-ppg-texas |access-date=2023-02-23 |website=IndyCar.com}}</ref>",,{{Color box|white|O|border=silver}} [[Texas Motor Speedway]],"[[Fort Worth, Texas]]",2023,,,,[[IndyCar Series at Texas Motor Speedway|PPG 375]],2,,,
2,,"April 16<ref>{{Cite web|date=August 23, 2022|title=2023 TICKET RENEWALS BEGIN OCTOBER 24!|url=https://gplb.com/|access-date=August 23, 2022|language=en-US}}</ref>",,{{color box|peachpuff|S|border=silver}} [[Grand Prix of Long Beach|Streets of Long Beach]],"[[Long Beach, California]]",2023,,,,[[Grand Prix of Long Beach|Acura Grand Prix of Long Beach]],3,,,
3,,April 30,,{{color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"[[Birmingham, Alabama]]",2023,,,,[[Indy Grand Prix of Alabama|Children's of Alabama Indy Grand Prix]],4,,,
4,,"May 13<ref name=""indianapolismotorspeedway.com"">{{Cite web|date=September 14, 2022|title=Plan Your Visit to Indianapolis Motor Speedway|url=https://www.indianapolismotorspeedway.com/planyourvisit/season-schedule|access-date=September 14, 2022|language=en-US}}</ref>",,{{Color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],"[[Speedway, Indiana]]",2023,,,,[[GMR Grand Prix]],5,,,
5,,"May 28<ref name=""indianapolismotorspeedway.com"" />",,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2023,,,,[[2023 Indianapolis 500|107th Running of the Indianapolis 500 presented by Gainbridge]],6,,,
6,,"June 4<ref>{{Cite web|date=August 23, 2022|title=The Future of the Grand Prix: Back to the Streets in 2023|url=https://detroitgp.com/eventinfo/The-Future-of-the-Grand-Prix-Back-to-the-Streets-in-2023/71770|access-date=August 23, 2022|language=en-US}}</ref>",,{{color box|peachpuff|S|border=silver}} [[Detroit street circuit|Streets of Detroit]],"[[Detroit, Michigan]]",2023,,,,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix presented by Lear]],7,,,
7,,June 18,,{{color box|lightblue|R|border=silver}} [[Road America]],"[[Elkhart Lake, Wisconsin]]",2023,,,,[[Grand Prix of Road America|Sonsio Grand Prix at Road America presented by AMR]],8,,,
8,,July 2,,{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"[[Lexington, Ohio]]",2023,,,,[[Indy 200 at Mid-Ohio|Honda Indy 200 at Mid-Ohio presented by the 2023 Accord Hybrid]],9,,,
9,,"July 16<ref>{{Cite web|date=December 2, 2020|title=Honda Indy Toronto Race 2021-2023 - Temporary Street Closures|url=https://www.toronto.ca/legdocs/mmis/2020/te/bgrd/backgroundfile-158689.pdf|access-date=August 23, 2022|language=en-US}}</ref>",,{{color box|peachpuff|S|border=silver}} [[Exhibition Place]],"[[Toronto, Ontario]]",2023,,,,[[Grand Prix of Toronto|Honda Indy Toronto]],10,,,
10,,July 22,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],"[[Newton, Iowa]]",2023,,,,[[IndyCar Series at Iowa Speedway|Hy-Vee Homefront 250 presented by Instacart]],11,,,
11,,July 23,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],"[[Newton, Iowa]]",2023,,,,[[IndyCar Series at Iowa Speedway|Hy-Vee One Step 250 presented by Gatorade]],12,,,
12,,"August 6<ref>{{Cite web|date=August 25, 2022|title=2023 TRANS AM CHAMPIONSHIP|url=https://gotransam.com/events/2023-Trans-Am-Championship/cat/534|access-date=September 14, 2022|language=en-US}}</ref>",,{{color box|peachpuff|S|border=silver}} [[Nashville Street Circuit]],"[[Nashville, Tennessee]]",2023,,,,[[Music City Grand Prix|Big Machine Music City Grand Prix]],13,,,
13,,"August 12<ref>{{Cite web|date=September 14, 2022|title=BRICKYARD WEEKEND RETURNING TO AUGUST DATE IN 2023|url=https://www.indianapolismotorspeedway.com/news-multimedia/news/2022/09/14/09-14-BYSchedule?startrow=1|access-date=September 14, 2022|language=en-US}}</ref>",,{{color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],"[[Speedway, Indiana]]",2023,,,,[[Grand Prix of Indianapolis|Gallagher Grand Prix]],14,,,
14,,August 27,,{{Color box|white|O|border=silver}} [[World Wide Technology Raceway]],"[[Madison, Illinois]]",2023,,,,[[Bommarito Automotive Group 500]],15,,,
15,,September 3<ref>{{cite web | url=https://www.msn.com/en-us/sports/motorsports/what-we-know-and-what-we-dont-mapping-out-the-potential-2023-indycar-schedule/ar-AA11THLX | title=What we know and what we don't: Mapping out the potential 2023 IndyCar schedule | website=[[MSN]] }}</ref>,,{{Color box|lightblue|R|border=silver}} [[Portland International Raceway]],"[[Portland, Oregon]]",2023,,,,[[Grand Prix of Portland|BitNile.com Grand Prix of Portland]],16,,,
16,,"September 10<ref>{{Cite web|date=September 12, 2022|title=IndyCar series sets official 2023 testing schedule|url=https://racer.com/2022/09/12/indycar-series-sets-official-2023-testing-schedule/|access-date=September 14, 2022|language=en-US}}</ref>",,{{Color box|lightblue|R|border=silver}} [[WeatherTech Raceway Laguna Seca]],"[[Monterey, California]]",2023,,,,[[IndyCar Monterey Grand Prix|Firestone Grand Prix of Monterey]],17,,,
0,,March 10,,{{color box|peachpuff|S|border=silver}} [[Firestone Grand Prix of St. Petersburg|Streets of St. Petersburg]],"[[St. Petersburg, Florida]]",2024,,,,[[Grand Prix of St. Petersburg|Firestone Grand Prix of St. Petersburg]],1,,,
1,,March 24,,{{color box|lightblue|R|border=silver}} [[The Thermal Club]],"[[Thermal, California]]",2024,,,,[[2024 $1 Million Challenge|$1 Million Challenge]],NC,,,
2,,April 21,,{{color box|peachpuff|S|border=silver}} [[Grand Prix of Long Beach|Streets of Long Beach]],"[[Long Beach, California]]",2024,,,,[[Grand Prix of Long Beach|Acura Grand Prix of Long Beach]],2,,,
3,,April 28,,{{color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"[[Birmingham, Alabama]]",2024,,,,[[Indy Grand Prix of Alabama|Children's of Alabama Indy Grand Prix]],3,,,
4,,May 11,,{{Color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],"[[Speedway, Indiana]]",2024,,,,[[Grand Prix of Indianapolis|Sonsio Grand Prix]],4,,,
5,,May 26,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2024,,,,[[2024 Indianapolis 500|108th Running of the Indianapolis 500]],5,,,
6,,June 2,,{{color box|peachpuff|S|border=silver}} [[Detroit street circuit|Streets of Detroit]],"[[Detroit, Michigan]]",2024,,,,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix]],6,,,
7,,June 9,,{{color box|lightblue|R|border=silver}} [[Road America]],"[[Elkhart Lake, Wisconsin]]",2024,,,,[[Grand Prix of Road America|XPEL Grand Prix at Road America]],7,,,
8,,June 23,,{{Color box|lightblue|R|border=silver}} [[WeatherTech Raceway Laguna Seca]],"[[Monterey, California]]",2024,,,,[[IndyCar Monterey Grand Prix|Firestone Grand Prix of Monterey]],8,,,
9,,July 7,,{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"[[Lexington, Ohio]]",2024,,,,[[Indy 200 at Mid-Ohio|Honda Indy 200 at Mid-Ohio]],9,,,
10,,July 13,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],"[[Newton, Iowa]]",2024,,,,[[IndyCar Series at Iowa Speedway|Hy-Vee Homefront 250]],10,,,
11,,July 14,,{{Color box|white|O|border=silver}} [[Iowa Speedway]],"[[Newton, Iowa]]",2024,,,,[[IndyCar Series at Iowa Speedway|Hy-Vee One Step 250]],11,,,
12,,July 21,,{{color box|peachpuff|S|border=silver}} [[Exhibition Place]],"[[Toronto|Toronto, Ontario]]",2024,,,,[[Grand Prix of Toronto|Ontario Honda Dealers Indy Toronto]],12,,,
13,,August 17,,{{Color box|white|O|border=silver}} [[World Wide Technology Raceway]],"[[Madison, Illinois]]",2024,,,,[[Bommarito Automotive Group 500]],13,,,
14,,August 25,,{{Color box|lightblue|R|border=silver}} [[Portland International Raceway]],"[[Portland, Oregon]]",2024,,,,[[Grand Prix of Portland|BitNile.com Grand Prix of Portland]],14,,,
15,,August 31,,{{Color box|white|O|border=silver}} [[Milwaukee Mile]],"[[West Allis, Wisconsin]]",2024,,,,[[IndyCar Series at the Milwaukee Mile|Hy-Vee Milwaukee Mile 250 – Race 1]],15,,,
16,,September 1,,{{Color box|white|O|border=silver}} [[Milwaukee Mile]],"[[West Allis, Wisconsin]]",2024,,,,[[IndyCar Series at the Milwaukee Mile|Hy-Vee Milwaukee Mile 250 – Race 2]],16,,,
17,,September 15,,{{Color box|white|O|border=silver}} [[Nashville Superspeedway]],"[[Lebanon, Tennessee]]",2024,,,,[[Indy Car Racing at Nashville Superspeedway|Big Machine Music City Grand Prix]],17,,,
0,,March 2,,{{color box|peachpuff|S|border=silver}} [[St. Petersburg Street Circuit|Streets of St. Petersburg]],"[[St. Petersburg, Florida]]",2025,,,,[[Grand Prix of St. Petersburg|Firestone Grand Prix of St. Petersburg]],1,,,
1,,March 23,,{{color box|lightblue|R|border=silver}} [[Thermal Club]],"[[Thermal, California]]",2025,,,,[[The Thermal Club IndyCar Grand Prix]],2,,,
2,,April 13,,[[Long Beach Street Circuit|{{color box|peachpuff|S|border=silver}} Streets of Long Beach]],"[[Long Beach, California]]",2025,,,,[[Grand Prix of Long Beach|Acura Grand Prix of Long Beach]],3,,,
3,,May 4,,{{color box|lightblue|R|border=silver}} [[Barber Motorsports Park]],"[[Birmingham, Alabama]]",2025,,,,[[Indy Grand Prix of Alabama|Children's of Alabama Indy Grand Prix]],4,,,
4,,May 10,,{{Color box|lightblue|R|border=silver}} [[Indianapolis Motor Speedway|Indianapolis Motor Speedway Road Course]],"[[Speedway, Indiana]]",2025,,,,[[Grand Prix of Indianapolis|Sonsio Grand Prix]],5,,,
5,,May 25,,{{Color box|white|O|border=silver}} [[Indianapolis Motor Speedway]],"[[Speedway, Indiana]]",2025,,,,[[2025 Indianapolis 500|109th Running of the Indianapolis 500]],6,,,
6,,June 1,,{{color box|peachpuff|S|border=silver}} [[Detroit Street Circuit|Streets of Detroit]],"[[Detroit, Michigan]]",2025,,,,[[Detroit Grand Prix (IndyCar)|Chevrolet Detroit Grand Prix]],7,,,
7,,June 15,,{{Color box|white|O|border=silver}} [[World Wide Technology Raceway]],"[[Madison, Illinois]]",2025,,,,[[Bommarito Automotive Group 500]],8,,,
8,,June 22,,{{color box|lightblue|R|border=silver}} [[Road America]],"[[Elkhart Lake, Wisconsin]]",2025,,,,[[Grand Prix of Road America|XPEL Grand Prix at Road America]],9,,,
9,,July 6,,{{color box|lightblue|R|border=silver}} [[Mid-Ohio Sports Car Course]],"[[Lexington, Ohio]]",2025,,,,[[Indy 200 at Mid-Ohio|Honda Indy 200 at Mid-Ohio]],10,,,
